旅館,捷絲旅台北西門館	1y3765758107596642723,2y4357002832761117893,1suqIQYsTPEsen2roPwcKokAI
旅館,台北市信義區松高路寒舍艾麗酒店	1y3765760408372813673,2y15766162335138926822,1sS6sQYsa4OrPdmAWfgpKIAg
旅館,嘉賓閣溫會館	1y3765763849071396237,2y13134922857186430024,1sJ6wQYrD-MLbn2roPlKuIyAE
旅館,台北市北投區光明路熱海大飯店	1y3765763843069393717,2y4373262703977590799,1sXawQYoDnHJ7h2roPwbq_8A8
旅館,華大旅店 永吉館	1y3765761066483516617,2y7761914336829351319,1sPK0QYtO0Ko7j0ATuvLz4AQ
餐廳,築間幸福鍋物 台北忠孝一店	1y3765760943388897903,2y8110360613371880687,1s460QYuvSC4OB-AaRmoDgBw
餐廳,菊川日式料理館	1y3765760943388897903,2y8110360613371880687,1s460QYuvSC4OB-AaRmoDgBw
餐廳,肉多多火鍋-忠孝後山埤店	1y3765760941909264851,2y3078882897269717941,1sTq4QYpqoDsi8hwOW6YWYCg
餐廳,火龍島極品火鍋	1y3765761195411825369,2y10175505600974286126,1sg64QYpj4M8v1wAPjmYCADA
餐廳,爭鮮迴轉壽司 忠孝店	1y3765761106265266121,2y10314713789924079352,1sua4QYqusEquImAXIm5f4AQ
餐廳,スシロー壽司郎 台北公館店	1y3765758263615943527,2y8116367523709776825,1s7q4QYqHsM8eUmAXPwJ2QAg
餐廳,三井日本料理(敦化料理美術館)	1y3765761099637366179,2y12380831949699869660,1sHLEQYreHB42ImAWno7yQAg
KTV,Sing!Go 聚唱KTV 忠孝店	1y3765761232120337449,2y5782733590284128440,1sfLIQYtXrA6ng2roPz9KmyAE
KTV,Sing!Go 聚唱KTV 信義店	1y3765761204895860881,2y12899571631302807350,1ssrIQYu_cFcXR2roPmYk_
KTV,好樂迪通化店	1y3765761126157674487,2y2945611460380694012,1s6rIQYqK-Fdvd2roPuumRmA4
KTV,錢櫃台北SOGO店	1y3765761150940333795,2y1433785045997273501,1sILMQYqTRBquO2roP1fe2wAE
KTV,好樂迪KTV 錦州店	1y3765758344653596351,2y9341813616243142407,1sVbMQYomKLqXi2roPvMKnwAE
KTV,好樂迪KTV 內湖店	1y3765761961254511099,2y13379214639093726459,1si7MQYoSjD5Lb0AS4l6CIAg
KTV,好樂迪 KTV 樹林店	1y3776300444222610005,2y17620281192770666873,1swLMQYtnOMczc2roPr9CewAE
旅館,馥華大觀商旅 Hotel Purity	1y3765757453911505203,2y10445839100653332608,1sWM8RYsi1LdaOhwOKwbywAw
旅館,美麗殿商旅	1y3765757082484751185,2y7497604586112902772,1sj88RYpWAFIGA1e8Phb--iA8
旅館,睡台北時尚旅店-南雅夜市館	1y3776271210434521581,2y14374597207460010899,1sxM8RYuv4NcGK-Abn5oHgDw
旅館,台北花園大酒店中華路	1y3765758772761449525,2y6691544171699236492,1shdARYsGgE_ri2roPsZuPmAM
餐廳,寶船日本料理	1y3765758600039509169,2y10886374899509356521,1sFNERYs3lLo6Or7wPuZuukAI
餐廳,添財日本料理武昌店	1y3765758104775018815,2y8152684593299182479,1sStERYvKVGpKkmAXI_6rwDw
餐廳,金魚日本料理	1y3765761118119821117,2y11565708862165628195,1sgNERYs5FgoWvvA_KlZCwDw
KTV,星聚點KTV館	1y3776271206412362575,2y1324992909272189450,1sfNIRYuDCMsiD-Aaxp4ewBw
KTV,星光大道KTV	1y3765756902478097179,2y12714367202105885268,1stNIRYs38IMiK-AaliIfgBA
KTV,同學匯KTV板橋店	1y3776271736663315723,2y12550598286789888431,1s6tIRYu2pD8zS-QbaiKG4Aw
KTV,星聚點KTV板橋館中山一路	1y3776271206412362575,2y1324992909272189450,1s7toRYu3sMrGn2roP3PCo0Ac
